Question,Demographic Group,Demographic,% Agreeing With Statement
Products and services using artificial  intelligence make me nervous,Age,50 to 74,38
I have a good understanding of what  artificial intelligence is,Household Income,Low_inc,57
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3 Ð5 years,Household Income,Low_inc,56
Products and services using artificial  intelligence make my life easier,Household Income,Low_inc,56
Products and services using artificial  intelligence have more benefits than  drawbacks,Household Income,Low_inc,50
I know which types of products and  services use artificial intelligence,Household Income,Low_inc,46
I trust companies that use artificial  intelligence as much as I trust other  companies,Household Income,Low_inc,47
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3 Ð5 years,Household Income,Low_inc,46
Products and services using artificial  intelligence make me nervous,Household Income,Low_inc,41
I have a good understanding of what  artificial intelligence is,Household Income,Medium_inc,63
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3 Ð5 years,Household Income,Medium_inc,58
Products and services using artificial  intelligence make my life easier,Household Income,Medium_inc,58
Products and services using artificial  intelligence have more benefits than  drawbacks,Household Income,Medium_inc,51
I know which types of products and  services use artificial intelligence,Household Income,Medium_inc,50
I trust companies that use artificial  intelligence as much as I trust other  companies,Household Income,Medium_inc,48
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3 Ð5 years,Household Income,Medium_inc,47
Products and services using artificial  intelligence make me nervous,Household Income,Medium_inc,41
I have a good understanding of what  artificial intelligence is,Household Income,High_inc,71
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3 Ð5 years,Household Income,High_inc,67
Products and services using artificial  intelligence make my life easier,Household Income,High_inc,66
Products and services using artificial  intelligence have more benefits than  drawbacks,Household Income,High_inc,57
I know which types of products and  services use artificial intelligence,Household Income,High_inc,57
I trust companies that use artificial  intelligence as much as I trust other  companies,Household Income,High_inc,57
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3 Ð5 years,Household Income,High_inc,54
Products and services using artificial  intelligence make me nervous,Household Income,High_inc,38
I have a good understanding of what  artificial intelligence is,Education,Low_edu,56
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3 Ð5 years,Education,Low_edu,53
Products and services using artificial  intelligence make my life easier,Education,Low_edu,53
Products and services using artificial  intelligence have more benefits than  drawbacks,Education,Low_edu,45
I know which types of products and  services use artificial intelligence,Education,Low_edu,44
I trust companies that use artificial  intelligence as much as I trust other  companies,Education,Low_edu,45
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3 Ð5 years,Education,Low_edu,43
Products and services using artificial  intelligence make me nervous,Education,Low_edu,41
I have a good understanding of what  artificial intelligence is,Education,Medium_edu,64
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3 Ð5 years,Education,Medium_edu,58
Products and services using artificial  intelligence make my life easier,Education,Medium_edu,58
Products and services using artificial  intelligence have more benefits than  drawbacks,Education,Medium_edu,50
I know which types of products and  services use artificial intelligence,Education,Medium_edu,48
I trust companies that use artificial  intelligence as much as I trust other  companies,Education,Medium_edu,48
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3 Ð5 years,Education,Medium_edu,46
Products and services using artificial  intelligence make me nervous,Education,Medium_edu,37
I have a good understanding of what  artificial intelligence is,Education,High_edu,71
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3 Ð5 years,Education,High_edu,68
Products and services using artificial  intelligence make my life easier,Education,High_edu,67
Products and services using artificial  intelligence have more benefits than  drawbacks,Education,High_edu,59
I know which types of products and  services use artificial intelligence,Education,High_edu,58
I trust companies that use artificial  intelligence as much as I trust other  companies,Education,High_edu,56
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3 Ð5 years,Education,High_edu,55
Products and services using artificial  intelligence make me nervous,Education,High_edu,40
I have a good understanding of what  artificial intelligence is,Employment Status,Business Owner,73
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3 Ð5 years,Employment Status,Business Owner,70
Products and services using artificial  intelligence make my life easier,Employment Status,Business Owner,67
Products and services using artificial  intelligence have more benefits than  drawbacks,Employment Status,Business Owner,63
I know which types of products and  services use artificial intelligence,Employment Status,Business Owner,63
I trust companies that use artificial  intelligence as much as I trust other  companies,Employment Status,Business Owner,61
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3 Ð5 years,Employment Status,Business Owner,61
Products and services using artificial  intelligence make me nervous,Employment Status,Business Owner,48
I have a good understanding of what  artificial intelligence is,Employment Status,Sr Exec./Dec. Maker,74
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3 Ð5 years,Employment Status,Sr Exec./Dec. Maker,72
Products and services using artificial  intelligence make my life easier,Employment Status,Sr Exec./Dec. Maker,70
Products and services using artificial  intelligence have more benefits than  drawbacks,Employment Status,Sr Exec./Dec. Maker,64
I know which types of products and  services use artificial intelligence,Employment Status,Sr Exec./Dec. Maker,65
I trust companies that use artificial  intelligence as much as I trust other  companies,Employment Status,Sr Exec./Dec. Maker,62
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3 Ð5 years,Employment Status,Sr Exec./Dec. Maker,62
Products and services using artificial  intelligence make me nervous,Employment Status,Sr Exec./Dec. Maker,46
I have a good understanding of what  artificial intelligence is,Employment Status,Employed,67
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3 Ð5 years,Employment Status,Employed,64
Products and services using artificial  intelligence make my life easier,Employment Status,Employed,63
Products and services using artificial  intelligence have more benefits than  drawbacks,Employment Status,Employed,55
I know which types of products and  services use artificial intelligence,Employment Status,Employed,54
I trust companies that use artificial  intelligence as much as I trust other  companies,Employment Status,Employed,53
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3 Ð5 years,Employment Status,Employed,52
Products and services using artificial  intelligence make me nervous,Employment Status,Employed,40
I have a good understanding of what  artificial intelligence is,Employment Status,Non-Employed,59
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3 Ð5 years,Employment Status,Non-Employed,54
Products and services using artificial  intelligence make my life easier,Employment Status,Non-Employed,55
Products and services using artificial  intelligence have more benefits than  drawbacks,Employment Status,Non-Employed,47
I know which types of products and  services use artificial intelligence,Employment Status,Non-Employed,44
I trust companies that use artificial  intelligence as much as I trust other  companies,Employment Status,Non-Employed,45
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3 Ð5 years,Employment Status,Non-Employed,43
Products and services using artificial  intelligence make me nervous,Employment Status,Non-Employed,38
